분노 ,E10
툴툴대는 ,E11 
좌절한 ,E12 
짜증내는 ,E13 
방어적인 ,E14 
악의적인 ,E15 
안달하는 ,E16 
구역질 나는 ,E17 
노여워하는 ,E18 
성가신 ,E19 
슬픔 ,E20 
실망한 ,E21 
비통한 ,E22 
후회되는 ,E23 
우울한 ,E24 
마비된 ,E25 
염세적인 ,E26 
눈물이 나는 ,E27 
낙담한 ,E28 
환멸을 느끼는 ,E29 
불안 ,E30 
두려운 ,E31 
스트레스 받는 ,E32 
취약한 ,E33 
혼란스러운 ,E34 
당혹스러운 ,E35 
회의적인 ,E36 
걱정스러운 ,E37 
조심스러운 ,E38 
초조한 ,E39 
상처 ,E40 
질투하는 ,E41 
배신당한 ,E42 
고립된 ,E43 
충격 받은 ,E44 
"가난한, 불우한 ",E45 
희생된 ,E46 
억울한 ,E47 
괴로워하는 ,E48 
버려진 ,E49 
당황 ,E50 
고립된(당황한) ,E51 
남의 시선을 의식하는 ,E52 
외로운 ,E53 
열등감 ,E54 
죄책감의 ,E55 
부끄러운 ,E56 
혐오스러운 ,E57 
한심한 ,E58 
혼란스러운(당황한) ,E59 
기쁨 ,E60 
감사하는 ,E61 
신뢰하는 ,E62 
편안한 ,E63 
만족스러운 ,E64 
흥분 ,E65 
느긋 ,E66 
안도 ,E67 
신이 난 ,E68 
자신하는 ,E69 
,
