Sentence,Emotion
아 진짜! 사무실에서 피지 말라니깐! 간접흡연이 얼마나 안좋은데!,분노
그럼 직접흡연하는 난 얼마나 안좋겠니? 안그래? 보면 꼭... 지 생각만 하고.,혐오
그걸 내가 어떻게 알아요!,분노
동사무소에서 인구조사 나왔니? 지금.,분노
나? ... 나보고 하라고?,놀람
그럼 내가 널 왜 만나러 왔겠어?,혐오
근데 왜... 나한테...?,놀람
"내가 몇 명 만나봤는데, 보니까 죄다 사기꾼 같고 영 못 믿겠어. 아무래도 이런 일은 아는 사람한테 맡기는 게... 딴 사람들도 다 그러더라.",혐오
잘됐네. 그럼 이번에 해보면 되잖아.,행복
안된다니깐!,분노
안 내켜.,혐오
뭔가 말리는 기분이야. 불길해. ,공포
생각해봐. 친구랍시고 갑자기 불쑥 나타나서 ‘집 져줘’ 안이상해?,공포
우정 좋아하네. 싸가지 못봤어? 지가 청담동 며느리면 다야?,혐오
저 나이에 집 짓겠다는 것도 이상하고... ,혐오
 ... 너 오늘 유난히 대답 잘 한다? 라임 맞춰가면서.,혐오
"집 짓는 이유가 그렇게 중요해? 왜, 내가 사기라도 칠까봐?",혐오
... 오.,놀람
... 대리석?,놀람
지금 회장님 집 짓니? 왜? 이왕이면 마당에 사슴도 키우지? 아니다. 이참에 아주 청와대를 짓자. 그래서 오바마도 초대해서 만찬도 하고.,분노
아무거나 막 얘기하라며.,분노
아무거나 막 얘기하랬지. 아무 생각 없이 막 얘기하랬니? 이런 울트라 럭셔리면 니가 가진 견적으론 화장실 하나 겨우 짓고 땡이야.,분노
그럼 어떡해?,분노
"뭘 어떡해! 욕심을 줄이던가, 아님... 화장실에서 살던가.",분노
"근데 왜 구박이야, 구박은! 기분 나빠질려구 그러네!",분노
 요기잖아. 요기. 강 건너 윗동네도 몰라?,놀람
알았다구요! 노면 되잖아요!,분노
지금 빨아서 언제 입어? ,혐오
"이상해. 저렇게 집들이 많은데, 저 중에 내 집이 하나 없다는 게.",슬픔
서울은 정말 복잡하구나. 사람도 너무 많고...,슬픔
... 어... 미안...,슬픔
책이 그렇게 많어?,놀람
어. 근데. 잠깐! 이건 또 뭐야? ,놀람
 어머! 정말? 언제?,놀람
뉴욕이요. 가서 저는 공부하고. 오빠는 취업하기로. 운이 좋았어요.,행복
야... 잘됐네. 그 남자 땡잡았다. ,행복
달랑 방 하나에서 먹고 자고. 그렇게 어떻게 사냐? 그래두 신혼인데...,혐오
알면서 왜 그래? 형편이 그렇잖아. 첨엔 좀 힘들더라도...,혐오
공부를 할 수가 없잖아! 공부를. ,분노
들으라고 그래! 내 친구 중에 자기 방 없는 애가 있는 줄 알아?,분노
어서 오세요.  니가 가게에 웬일이야?,놀람
너 어떻게 된 거야! 한 시간두 넘게 기다렸잖아!,분노
그런데 쓸 돈이 어딨어? 돈이 남아돌아?,분노
오늘도 2만원 밖에 못 팔고 들어와서 속상해 죽겠는데!,분노
아. 더워. ,혐오
창문도 생각보다 너무 작아 보이고. 안방도 생각보다 작은 거 같고… 도면으로 보다가 직접 보니까... 너무 다른데. 아무리 생각해도…,혐오
그 아무리 생각... 그걸 하지마. 더운데 굳이 왜 그래. 힘들게.,슬픔
그래두 아무리 생각해도...,슬픔
아 진짜 덥다. 오늘 이상하게 덥네. 그지? 왜 더울까?,혐오
아 진짜! 한마디를 안져! 한마디를! 어쩜 그렇게 필사적으로 구박일까? ,분노
말도 안돼. 내가 그런 유치한 얘길 했을 리가 없어.,혐오
아. 짜증나. 녹음을 해 놨어야 되는데. 진짜.,혐오
... 미안해. 근데 너 잘 알잖아. 그게... ,슬픔
 알았어. 알았는데... 나 좀 섭섭해.,슬픔
됐어. 무슨 술이야.,혐오
귀찮게... 뭘 보내라는 게 많아. 에이...,혐오
섭섭하겠다. 그 동네에서 오래 살았잖아.,슬픔
섭섭하긴. 지긋지긋하지.,혐오
그래두. 걱정되겠다. 혼자 아프시기라도 하면 큰일인데... 나이 드신 분들은 순간이더라. 니가 신경 많이 써.,슬픔
난 그냥... 걱정 돼서... ,슬픔
니가 그런 걱정을 왜 해?,분노
왜 화를 내? 그냥 자주 왔다 갔다 하면 되잖아. 적적하지 않으시게...,분노
"자주 왔다 갔다 하기는... 내가 어디 놀러가는 걸로 보이니? 당장 학비에, 집세에. 먹고 살 걱정으로도 빠듯해. 모르면 속 편한 소리 말어. ",분노
 ... 그래. 알았어. 그만 하자. 내가 잘못했어. 그만해.,슬픔
음악 하는 애들 재수 없어. 다들 지 잘났다고. 부모 돈지랄. 재수 없어. ,혐오
근데... 왜. 나랑... 생일이면 친구들이랑 같이... 파티하고 그런거...,놀람
당연하지!,행복
 오 갓. 너무 유치해.,혐오
무슨 이살 가?,혐오
그게 무슨 뚱단지같은 소리야? ,혐오
가득이나 골치 아파 죽겠는데 얘가 웬 헛소리야. 나중에 니가 돈 벌어서 이사 가. 오늘두 겨우 2만원 팔고 들어왔어.,분노
 그래. 자랑이다!,분노
아니. 반응이 왜 이래? 난 무지 칭찬 받을 줄 알았는데. 고맙다고 뭐 먹고 싶냐고 물어보면 한우 사달라고 그러려구 그랬는데.,놀람
 고마워. 고맙긴 고마운데. 너무 갑작스러워서.,놀람
선생님 진짜 무서웠거든. 맨날 손바닥 맞고.,공포
 아니. 왜 하루종일 밥타령이야? 요즘 굶고 다녀?,분노
너 미역국이나 챙겨주게. 너 오늘 생일 아니야? 아니야? 생일 바꿨어?,놀람
... 기특해서. 귀여워서. ,행복
"다음주 준공검사 앞두고, 이제와서 무슨 2층을 올려? 장난쳐?",분노
돈이면 다야? 설계 다시 하고 골조 건들면 최소한 한달인데. 그럼 스케쥴은?,분노
다음달에 우리 결혼식인 거 까먹었어? 지금 할일이 산더민데. 우린 어쩌라고?,분노
 그건 그 여자 사정이지!,분노
아니 못 간다면 그런 줄 알지... 빨리 문 닫아.,혐오
아... 진짜... 이 사람이...,혐오
 왜 못 가냐구!,분노
 아... 왜 또 평일이야? ,혐오
저런 놈이랑 결혼하는데 좋아? 그렇게 행복해?,혐오
... 좋죠. 그럼!,행복
지금 그게 말이 돼? 사람들 다 저기 있는데.,분노
미안해. 니가 좀... 잘 마무리해라.,슬픔
도대체 지금 어딜 간다는 거야? 무슨 급한 일인데? 말을 해야 알거 아니야.,분노
... 답답해.,슬픔
그냥... 기분이 이상해. 내가... 내가 아닌 거 같아.,슬픔
저 드라마 역사하고 너무 다른 거 아냐? 작가가 제대로 알고 썼는지 모르겠네.,혐오
자주 이용하지도 않는데 가입하지 말 걸 그랬어. 그런데 쇼핑몰에서 개인 정보를 더 철저하게 관리해야 하는 거 아냐? 요즘 사고가 얼마나 많은데..,혐오
